Gregor Amann, SPD, 1471 Tage
Frank Spieth, DIE LINKE., 1471 Tage
Elke Reinke, DIE LINKE., 1471 Tage
Bärbel Höhn, BÜNDNIS 90/DIE GRÜNEN, 1471 Tage
Jan Mücke, FDP, 1471 Tage
Felix Schreiner, CDU, 1464 Tage
Ulli Nissen, SPD, 1464 Tage
Birgit Wöllert, DIE LINKE., 1464 Tage
Sven Volmering, CDU, 1464 Tage
Dr. Bettina Hoffmann, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Michael Kuffer, CSU, 1464 Tage
René Springer, AfD, 1464 Tage
Claudia Tausend, SPD, 1464 Tage
Frank Magnitz, AfD, 1464 Tage
Torsten Schweiger, CDU, 1464 Tage
Kordula Schulz-Asche, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Daniel Föst, FDP, 1464 Tage
Michaela Engelmeier, SPD, 1464 Tage
Metin Hakverdi, SPD, 1464 Tage
Astrid Damerow, CDU, 1464 Tage
Christoph Neumann, AfD, 1464 Tage
Philipp Lerchenfeld, CSU, 1464 Tage
Ulrich Oehme, AfD, 1464 Tage
Martina Renner, DIE LINKE., 1464 Tage
Ursula Groden-Kranich, CDU, 1464 Tage
Dirk Vöpel, SPD, 1464 Tage
Kay Gottschalk, AfD, 1464 Tage
Dr. Andreas Lenz, CSU, 1464 Tage
Ute Bertram, CDU, 1464 Tage
Julia Obermeier, CSU, 1464 Tage
Matern Marschall, CDU, 1464 Tage
Özcan Mutlu, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Lars Herrmann, Plos, 1464 Tage
Kees Vries, CDU, 1464 Tage
Sven Lehmann, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Dr. Harald Weyel, AfD, 1464 Tage
Tobias Matthias Peterka, AfD, 1464 Tage
Uwe Kamann, Plos, 1464 Tage
Thomas Hacker, FDP, 1464 Tage
Rainer Spiering, SPD, 1464 Tage
Heike Baehrens, SPD, 1464 Tage
Dr. Klaus-Peter Schulze, CDU, 1464 Tage
Jens Maier, AfD, 1464 Tage
Kerstin Radomski, CDU, 1464 Tage
Alexander Lambsdorff, FDP, 1464 Tage
Dr. Hans-Joachim Schabedoth, SPD, 1464 Tage
Mark Helfrich, CDU, 1464 Tage
Till Mansmann, FDP, 1464 Tage
Filiz Polat, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Gerald Ullrich, FDP, 1464 Tage
Dr. Jens Brandenburg, FDP, 1464 Tage
Dr. Kirsten Kappert-Gonther, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Timon Gremmels, SPD, 1464 Tage
Dr. Lukas Köhler, FDP, 1464 Tage
Dr. Silke Launert, CSU, 1464 Tage
Jeannine Pflugradt, SPD, 1464 Tage
Uwe Schulz, AfD, 1464 Tage
Annalena Baerbock, BÜNDNIS 90/DIE GRÜNEN, 1464 Tage
Fabian Jacobi, AfD, 1464 Tage
Michael Thews, SPD, 1464 Tage
Harald Petzold, DIE LINKE., 1464 Tage
Maik Beermann, CDU, 1464 Tage
Christoph Meyer, FDP, 1464 Tage
Stephan Protschka, AfD, 1464 Tage
Enrico Komning, AfD, 1464 Tage
Stephan Brandner, AfD, 1464 Tage
Hermann Färber, CDU, 1464 Tage
Esther Dilcher, SPD, 1464 Tage
Dr. Nils Schmid, SPD, 1464 Tage
Detlev Pilger, SPD, 1464 Tage
Joana Cotar, Plos, 1464 Tage
Sigrid Hupach, DIE LINKE., 1464 Tage
