Hinweise zur Aufgabe: Sortiert primär nach Redenanzahl, sekundär nach Redenlänge


TEIL 1: Nach Fraktionen:
Fraktion Deutsche Partei
    Carmen Wegge, SPD (28 Reden, gesamt 116619 Zeichen)
    Peggy Schierenbeck, SPD (28 Reden, gesamt 106393 Zeichen)
    Robin Mesarosch, SPD (27 Reden, gesamt 128247 Zeichen)
    Dr. Franziska Kersten, SPD (27 Reden, gesamt 119470 Zeichen)
    Verena Hubertz, SPD (27 Reden, gesamt 106048 Zeichen)
    Dr. Holger Becker, SPD (26 Reden, gesamt 108113 Zeichen)
    Dr. Zanda Martens, SPD (26 Reden, gesamt 106994 Zeichen)
    Bernd Westphal, SPD (26 Reden, gesamt 106277 Zeichen)
    Esra Limbacher, SPD (25 Reden, gesamt 110418 Zeichen)
    Dr. Nils Schmid, SPD (25 Reden, gesamt 105767 Zeichen)
    Parsa Marvi, SPD (24 Reden, gesamt 94993 Zeichen)
    Sonja Eichwede, SPD (23 Reden, gesamt 112540 Zeichen)
    Derya Türk-Nachbaur, SPD (23 Reden, gesamt 112017 Zeichen)
    Tim Klüssendorf, SPD (23 Reden, gesamt 111273 Zeichen)
    Rasha Nasr, SPD (23 Reden, gesamt 85112 Zeichen)
    Dr. Karamba Diaby, SPD (23 Reden, gesamt 64349 Zeichen)
    Sebastian Fiedler, SPD (22 Reden, gesamt 138789 Zeichen)
    Annika Klose, SPD (22 Reden, gesamt 89515 Zeichen)
    Nadine Heselhaus, SPD (22 Reden, gesamt 82186 Zeichen)
    Ruppert Stüwe, SPD (22 Reden, gesamt 79054 Zeichen)
    Markus Hümpfer, SPD (22 Reden, gesamt 76652 Zeichen)
    Andreas Mehltretter, SPD (21 Reden, gesamt 95027 Zeichen)
    Isabel Cademartori Dujisin, SPD (21 Reden, gesamt 93270 Zeichen)
    Dr. Matthias Miersch, SPD (21 Reden, gesamt 92656 Zeichen)
    Kaweh Mansoori, SPD (21 Reden, gesamt 92215 Zeichen)
    Johannes Arlt, SPD (21 Reden, gesamt 83343 Zeichen)
    Simona Koß, SPD (21 Reden, gesamt 68596 Zeichen)
    Dr. Ralf Stegner, SPD (20 Reden, gesamt 107213 Zeichen)
    Martina Stamm-Fibich, SPD (20 Reden, gesamt 87321 Zeichen)
