Document{{_id=11004181, Redenanzahl=46, Vorname=Kathrin, Nachname=Vogler, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11003586, Redenanzahl=45, Vorname=Dorothee, Nachname=Bär, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004819, Redenanzahl=45, Vorname=Pascal, Nachname=Meiser, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11005289, Redenanzahl=45, Vorname=Clara, Nachname=Bünger, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004100, Redenanzahl=44, Vorname=Jan-Marco, Nachname=Luczak, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004041, Redenanzahl=44, Vorname=Nicole, Nachname=Gohlke, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11004087, Redenanzahl=44, Vorname=Ulrich, Nachname=Lange, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004791, Redenanzahl=44, Vorname=Steffen, Nachname=Kotré, Partei=AfD, Fraktion=Alternative für Deutschland}}
Document{{_id=11005095, Redenanzahl=44, Vorname=Lamya, Nachname=Kaddor, Partei=BÜNDNIS 90/DIE GRÜNEN, Fraktion=Fraktion BÜNDNIS 90/DIE GRÜNEN}}
Document{{_id=11005186, Redenanzahl=43, Vorname=Heidi, Nachname=Reichinnek, Partei=DIE LINKE., Fraktion=Fraktion DIE LINKE.}}
Document{{_id=11005219, Redenanzahl=43, Vorname=Stefan, Nachname=Seidler, Partei=SSW, Fraktion=Fraktionslos}}
Document{{_id=11004682, Redenanzahl=43, Vorname=Sebastian, Nachname=Brehm, Partei=CSU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11004061, Redenanzahl=42, Vorname=Thomas, Nachname=Jarzombek, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
Document{{_id=11003780, Redenanzahl=42, Vorname=Andreas, Nachname=Jung, Partei=CDU, Fraktion=Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union}}
