Document{{_id=11005010, Redenanzahl=21, Vorname=Johannes, Nachname=Arlt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005112, Redenanzahl=21, Vorname=Simona, Nachname=Koß, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005036, Redenanzahl=21, Vorname=Isabel, Nachname=Cademartori Dujisin, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003809, Redenanzahl=21, Vorname=Matthias, Nachname=Miersch, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005147, Redenanzahl=21, Vorname=Andreas, Nachname=Mehltretter, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005247, Redenanzahl=20, Vorname=Carolin, Nachname=Wagner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004448, Redenanzahl=20, Vorname=Gülistan, Nachname=Yüksel, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005229, Redenanzahl=20, Vorname=Ralf, Nachname=Stegner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004603, Redenanzahl=20, Vorname=Jens, Nachname=Zimmermann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004413, Redenanzahl=20, Vorname=Martina, Nachname=Stamm-Fibich, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005038, Redenanzahl=19, Vorname=Hakan, Nachname=Demir, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004426, Redenanzahl=19, Vorname=Carsten, Nachname=Träger, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005144, Redenanzahl=19, Vorname=Franziska, Nachname=Mascheck, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005267, Redenanzahl=19, Vorname=Armand, Nachname=Zorn, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005051, Redenanzahl=19, Vorname=Heike, Nachname=Engelhardt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005168, Redenanzahl=19, Vorname=Brian, Nachname=Nickholz, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005268, Redenanzahl=19, Vorname=Katrin, Nachname=Zschau, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005097, Redenanzahl=19, Vorname=Carlos, Nachname=Kasper, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005139, Redenanzahl=19, Vorname=Erik, Nachname=Malottki, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004282, Redenanzahl=19, Vorname=Uli, Nachname=Grötsch, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004710, Redenanzahl=19, Vorname=Wiebke, Nachname=Esdar, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003846, Redenanzahl=19, Vorname=Frank, Nachname=Schwabe, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004959, Redenanzahl=18, Vorname=Dorothee, Nachname=Martin, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005041, Redenanzahl=18, Vorname=Jan, Nachname=Dieren, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005256, Redenanzahl=18, Vorname=Lena, Nachname=Werner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005177, Redenanzahl=18, Vorname=Natalie, Nachname=Pawlik, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005077, Redenanzahl=18, Vorname=Frauke, Nachname=Heiligenstadt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005140, Redenanzahl=18, Vorname=Holger, Nachname=Mann, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005105, Redenanzahl=17, Vorname=Helmut, Nachname=Kleebank, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005188, Redenanzahl=17, Vorname=Ye-One, Nachname=Rhie, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004950, Redenanzahl=17, Vorname=Joe, Nachname=Weingarten, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11003545, Redenanzahl=17, Vorname=Bettina, Nachname=Hagedorn, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004257, Redenanzahl=17, Vorname=Lars, Nachname=Castellucci, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005128, Redenanzahl=17, Vorname=Luiza, Nachname=Licina-Bode, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004881, Redenanzahl=17, Vorname=Johannes, Nachname=Schraps, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004270, Redenanzahl=17, Vorname=Johannes, Nachname=Fechner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005025, Redenanzahl=17, Vorname=Jakob, Nachname=Blankenburg, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004771, Redenanzahl=17, Vorname=Elisabeth, Nachname=Kaiser, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005181, Redenanzahl=16, Vorname=Jan, Nachname=Plobner, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004683, Redenanzahl=16, Vorname=Leni, Nachname=Breymaier, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005240, Redenanzahl=16, Vorname=Anja, Nachname=Troff-Schaffarzyk, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11004401, Redenanzahl=16, Vorname=Dagmar, Nachname=Schmidt, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
Document{{_id=11005000, Redenanzahl=16, Vorname=Sanae, Nachname=Abdi, Partei=SPD, Fraktion=Fraktion der Sozialdemokratischen Partei Deutschlands}}
